company_ID,company_name,company_pic,company_address,company_email,company_field,company_Phone,company_size,training_price,group,training_location,training_date,training_topic,training_field,training_type,order_history,improved_abilities,training_materials_quality,trainer_satisfaction_level,facility,satisfaction_level,continuity,likelihood_of_recommendation
0,PD Wijayanti Tbk,Karma Saefullah,"Jalan Ahmad Dahlan No. 1
Singkawang, JK 50862",nasimmahendra@example.net,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",+62-348-188-9850,Menengah,1000000,Group,"095 Kimberly Lodge Apt. 353
Lake Janet, NM 29428",2023-12-05,Teknik Analisa Big Data untuk Memaksimalkan Marketing,Sales & Marketing,Online Training,9,26,4,10,6,6.666666666666667,no,54.66666666666667
1,CV Rajata Tbk,Ajeng Kusmawati,"Jalan Pelajar Pejuang No. 61
Samarinda, SB 20809",kasiyah06@example.net,Real Estat,+62-675-319-7544,Kecil,500000,Group,"1906 Collins Garden Apt. 811
West Matthew, UT 94636",2024-01-03,Teknik Penjualan yang Efektif di Era Covid-19 & WFH,Sales & Marketing,Online Training,6,65,8,8,10,8.666666666666666,yes,69.42176870748298
2,PD Salahudin Suartini (Persero) Tbk,Kemba Salahudin,"Jalan Cikapayang No. 4
Kupang, Bengkulu 91589",samosirrini@example.org,Pengangkutan dan Pergudangan,+62 (034) 922 7965,Kecil,700000,Retail,"118 Nancy Throughway Suite 086
Joneschester, WV 65029",2023-12-25,Mengelola Tim Penjualan Di Era Covid - 19 & WFH Bagi Supervisor & Manager,Sales & Marketing,Online Training,8,98,1,5,1,2.3333333333333335,no,38.761904761904766
3,CV Rajata Nainggolan,"Ibun Wasita, S.Kom","Gang Merdeka No. 67
Sawahlunto, KI 88410",dimaspratiwi@example.com,Pertambangan dan Penggalian,(038) 709-4790,Besar,600000,Group,"562 Linda Circles
Lake Joseph, MN 70719",2023-11-23,Marketing Support & Sales Admin Development Program,Sales & Marketing,Online Training,7,65,2,2,4,2.6666666666666665,no,34.523809523809526
4,UD Rahimah Laksmiwati (Persero) Tbk,"Nalar Kusumo, S.E.","Gg. Cikutra Barat No. 581
Tangerang, JT 98542",wsetiawan@example.org,Industri Pengelahan,(0683) 212-0508,Besar,700000,Group,"91088 Kenneth Via
Dawnberg, PR 54279",2023-12-05,Akuisisi Produk Financial Services Melalui Digital Marketing,Sales & Marketing,Online Training,9,53,3,2,10,5.0,no,49.0
5,PT Habibi Siregar,Daru Megantara,"Gang Cempaka No. 466
Tebingtinggi, SU 56062",raisaaryani@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",+62 (015) 501-0823,Kecil,1000000,Group,"629 Victoria Island
Fitzpatrickmouth, OH 46579",2024-01-01,Memaksimalkan Digital Marketing Untuk Bisnis,Sales & Marketing,Online Training,1,61,1,2,6,3.0,no,27.285714285714285
6,CV Iswahyudi (Persero) Tbk,Janet Firmansyah,"Jalan H.J Maemunah No. 2
Banjar, Sumatera Barat 49267",prakosasitompul@example.org,"Pertanian, Kehutanan, dan Perikanan",0811346343,Besar,400000,Group,"6895 Mark Circles Suite 154
Heatherville, AL 90147",2023-11-18,Optimalisasi Social Media Branding Menggunakan Storytelling,Sales & Marketing,Online Training,8,98,4,2,7,4.333333333333333,no,50.19047619047619
7,PT Megantara Siregar,Jaya Nurdiyanti,"Gg. Tubagus Ismail No. 326
Depok, Riau 05746",vmarbun@example.com,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",(0031) 761 3465,Menengah,200000,Retail,"5771 Pace Mountain
Chaseshire, IA 26949",2023-12-06,Digital Marketing Untuk Bisnis B2B,Sales & Marketing,Online Training,9,46,5,7,4,5.333333333333333,no,49.904761904761905
8,PT Wibowo Wulandari (Persero) Tbk,Dr. Violet Purnawati,"Jl. Veteran No. 620
Pangkalpinang, DKI Jakarta 97192",zwibowo@example.com,"Kesenian, Hiburan Dan Rekreasi",+62-937-627-9010,Besar,500000,Group,"1115 Amanda Ridges
Rebeccaport, MS 76587",2023-12-28,Memenangkan SEO  (Search Engine Optimization) Untuk Bisnis,Sales & Marketing,Online Training,5,85,6,5,3,4.666666666666667,no,45.95238095238095
9,Perum Wasita Tbk,"Wulan Astuti, S.Pd","Jalan Rajiman No. 74
Batu, Jambi 02301",maryadisiska@example.com,PendidikanAktivitas Kesehatan Manusia Dan Aktivitas Sosial,(0175) 730-4672,Besar,200000,Retail,"PSC 9060, Box 1160
APO AP 88107",2024-01-05,Sales & Marketing Management,Sales & Marketing,Online Training,6,34,5,2,6,4.333333333333333,no,38.19047619047619
